raw_code,link_count,registry_classification,routing_classification,canonical_code,is_core_alias,canonical_name,parent_code,root_code,wiktionary_section,parent_chain_json,components_json,source_language_counts_json,example_1_source_lang,example_1_source_word,example_1_source_pos,example_1_source_id,example_1_target_word,example_1_target_label,example_1_anchor,example_2_source_lang,example_2_source_word,example_2_source_pos,example_2_source_id,example_2_target_word,example_2_target_label,example_2_anchor,example_3_source_lang,example_3_source_word,example_3_source_pos,example_3_source_id,example_3_target_word,example_3_target_label,example_3_anchor
fi,238236,full_language,,fi,false,Finnish,,,,[],[],"{""ca"": 2, ""cs"": 3, ""da"": 11, ""de"": 17, ""el"": 2, ""en"": 259, ""eo"": 5, ""es"": 2, ""fi"": 237427, ""fr"": 4, ""gl"": 1, ""hu"": 211, ""id"": 2, ""it"": 6, ""la"": 4, ""nb"": 111, ""nl"": 7, ""pl"": 12, ""pt"": 3, ""ro"": 1, ""ru"": 47, ""sv"": 91, ""tr"": 6, ""uk"": 1, ""vi"": 1}",fr,ménager la chèvre et le chou,verb,43015,pukki kaalimaan vartijana,,,fr,yogourt,noun,70621,jogurtti,,,fr,Tampere,name,101083,Tampere,,
en,220174,full_language,,en,false,English,,,,[],[],"{""ca"": 486, ""cs"": 205, ""da"": 1627, ""de"": 4680, ""el"": 431, ""en"": 177208, ""eo"": 1181, ""es"": 2047, ""fi"": 11158, ""fr"": 2365, ""gl"": 292, ""hu"": 715, ""id"": 1824, ""it"": 1548, ""la"": 581, ""nb"": 1327, ""nl"": 3351, ""pl"": 1527, ""pt"": 778, ""ro"": 1287, ""ru"": 2152, ""sv"": 2151, ""tr"": 485, ""uk"": 233, ""vi"": 535}",fr,sur,adj,93,sour,,,fr,avoir,verb,376,aver,,,fr,peu,adv,434,few,,
la,138478,full_language,,la,false,Latin,,,,[],[],"{""ca"": 9210, ""cs"": 634, ""da"": 1891, ""de"": 3750, ""el"": 412, ""en"": 34896, ""eo"": 1641, ""es"": 10243, ""fi"": 2672, ""fr"": 12020, ""gl"": 4943, ""hu"": 1756, ""id"": 3033, ""it"": 16262, ""la"": 7036, ""nb"": 2180, ""nl"": 3906, ""pl"": 1750, ""pt"": 8045, ""ro"": 7148, ""ru"": 1891, ""sv"": 1695, ""tr"": 407, ""uk"": 959, ""vi"": 98}",fr,la,article,3,illam,,,fr,le,article,6,illum,,,fr,et,conj,10,et,,
hu,135449,full_language,,hu,false,Hungarian,,,,[],[],"{""ca"": 2, ""cs"": 27, ""da"": 6, ""de"": 65, ""el"": 3, ""en"": 300, ""eo"": 18, ""es"": 5, ""fi"": 193, ""fr"": 9, ""hu"": 130775, ""id"": 4, ""it"": 10, ""la"": 10, ""nb"": 12, ""nl"": 12, ""pl"": 83, ""pt"": 12, ""ro"": 3791, ""ru"": 25, ""sv"": 16, ""tr"": 44, ""uk"": 27}",fr,coche,noun,46514,kocsi,,,fr,paprika,noun,61784,paprika,,,fr,Tass,name,66774,Tass,,
fr,131661,full_language,,fr,false,French,,,,[],[],"{""ca"": 1686, ""cs"": 222, ""da"": 1172, ""de"": 2521, ""el"": 640, ""en"": 15339, ""eo"": 1557, ""es"": 1639, ""fi"": 1931, ""fr"": 53209, ""gl"": 447, ""hu"": 727, ""id"": 1774, ""it"": 2954, ""la"": 75, ""nb"": 1313, ""nl"": 3181, ""pl"": 1793, ""pt"": 1652, ""ro"": 30068, ""ru"": 1798, ""sv"": 1651, ""tr"": 2746, ""uk"": 547, ""vi"": 1019}",fr,que,pron,39,quoi,,,fr,sur,prep,92,super,,,fr,sur-,prefix,94,super-,,
de,128958,full_language,,de,false,German,,,,[],[],"{""ca"": 82, ""cs"": 544, ""da"": 2683, ""de"": 92676, ""el"": 63, ""en"": 13159, ""eo"": 1001, ""es"": 191, ""fi"": 1299, ""fr"": 560, ""gl"": 63, ""hu"": 1931, ""id"": 231, ""it"": 312, ""la"": 153, ""nb"": 1810, ""nl"": 2991, ""pl"": 1707, ""pt"": 125, ""ro"": 1848, ""ru"": 1419, ""sv"": 3523, ""tr"": 49, ""uk"": 496, ""vi"": 42}",fr,on,pron,105,man,,,fr,ça va,intj,503,wie geht es,wie geht es?,,fr,comment ça va,phrase,1160,wie geht's,wie geht es?,
sv,83685,full_language,,sv,false,Swedish,,,,[],[],"{""ca"": 7, ""cs"": 4, ""da"": 1663, ""de"": 604, ""el"": 3, ""en"": 4429, ""eo"": 38, ""es"": 14, ""fi"": 3777, ""fr"": 31, ""gl"": 6, ""hu"": 8, ""id"": 8, ""it"": 19, ""la"": 34, ""nb"": 1416, ""nl"": 218, ""pl"": 31, ""pt"": 12, ""ro"": 3, ""ru"": 41, ""sv"": 71307, ""tr"": 2, ""uk"": 8, ""vi"": 2}",fr,barre,noun,8604,bärling,,,fr,vague,noun,10976,våg,,,fr,cloche,noun,20707,klocka,,
ru,81045,full_language,,ru,false,Russian,,,,[],[],"{""ca"": 37, ""cs"": 307, ""da"": 25, ""de"": 238, ""el"": 29, ""en"": 2766, ""eo"": 612, ""es"": 41, ""fi"": 1008, ""fr"": 194, ""gl"": 4, ""hu"": 132, ""id"": 30, ""it"": 121, ""la"": 218, ""nb"": 53, ""nl"": 83, ""pl"": 837, ""pt"": 42, ""ro"": 1135, ""ru"": 65347, ""sv"": 86, ""tr"": 78, ""uk"": 7583, ""vi"": 39}",fr,nom,noun,996,и́мя,,,fr,grand de ce monde,noun,1112,вели́кие ми́ра сего́,,,fr,Amour,name,1982,Аму́р,,
nl,77460,full_language,,nl,false,Dutch,,,,[],[],"{""ca"": 20, ""cs"": 18, ""da"": 686, ""de"": 3105, ""el"": 3, ""en"": 8008, ""eo"": 98, ""es"": 64, ""fi"": 99, ""fr"": 364, ""gl"": 18, ""hu"": 12, ""id"": 5949, ""it"": 81, ""la"": 40, ""nb"": 526, ""nl"": 56947, ""pl"": 68, ""pt"": 49, ""ro"": 13, ""ru"": 229, ""sv"": 995, ""tr"": 10, ""uk"": 51, ""vi"": 7}",fr,on,pron,105,men,,,fr,toujours,adv,486,altijd,,,fr,être de la partie,verb,965,van de partij zijn,,
ro,67563,full_language,,ro,false,Romanian,,,,[],[],"{""ca"": 50, ""cs"": 12, ""da"": 2, ""de"": 14, ""el"": 13, ""en"": 2025, ""eo"": 74, ""es"": 212, ""fi"": 10, ""fr"": 156, ""gl"": 34, ""hu"": 78, ""id"": 2, ""it"": 240, ""la"": 10, ""nb"": 16, ""nl"": 2, ""pl"": 29, ""pt"": 150, ""ro"": 64351, ""ru"": 29, ""sv"": 3, ""tr"": 8, ""uk"": 40, ""vi"": 3}",fr,tout,adv,195,tot,,,fr,être,verb,218,fi,,,fr,du tout,adv,236,de tot,,
it,60479,full_language,,it,false,Italian,,,,[],[],"{""ca"": 630, ""cs"": 81, ""da"": 171, ""de"": 649, ""el"": 446, ""en"": 5731, ""eo"": 1076, ""es"": 1200, ""fi"": 473, ""fr"": 1964, ""gl"": 237, ""hu"": 268, ""id"": 298, ""it"": 42150, ""la"": 67, ""nb"": 287, ""nl"": 377, ""pl"": 369, ""pt"": 999, ""ro"": 1986, ""ru"": 310, ""sv"": 238, ""tr"": 295, ""uk"": 114, ""vi"": 63}",fr,et,conj,10,e,,,fr,en,pron,25,ne,,,fr,tu,pron,165,tu,,
