code,name,immediate parent,entry language,entry language name,routing classification,containment chain
aae,Arbëresh Albanian,als,sq,Albanian,external language,aae > als > sq
aat,Arvanitika Albanian,als,sq,Albanian,external language,aat > als > sq
abr,Abron,tw,ak,Akan,external language,abr > tw > ak
acm-khu,Khuzestani Arabic,acm,acm,Iraqi Arabic,external language,acm-khu > acm
act,Achterhoeks,nds-nl,nds,Low German,external language,act > nds-nl > nds
adx,Amdo Tibetan,bo,bo,Tibetan,external language,adx > bo
ae-old,Old Avestan,ae,ae,Avestan,external language,ae-old > ae
ae-yng,Younger Avestan,ae-old,ae,Avestan,external language,ae-yng > ae-old > ae
ain-hok,Hokkaido Ainu,ain,ain,Ainu,external language,ain-hok > ain
ain-kur,Kuril Ainu,ain,ain,Ainu,external language,ain-kur > ain
ain-sak,Sakhalin Ainu,ain,ain,Ainu,external language,ain-sak > ain
akk-lbb,Late Babylonian,akk,akk,Akkadian,external language,akk-lbb > akk
akk-mas,Middle Assyrian,akk,akk,Akkadian,external language,akk-mas > akk
akk-mbb,Middle Babylonian,akk,akk,Akkadian,external language,akk-mbb > akk
akk-nas,Neo-Assyrian,akk,akk,Akkadian,external language,akk-nas > akk
akk-nbb,Neo-Babylonian,akk,akk,Akkadian,external language,akk-nbb > akk
akk-oas,Old Assyrian,akk,akk,Akkadian,external language,akk-oas > akk
akk-obb,Old Babylonian,akk,akk,Akkadian,external language,akk-obb > akk
akk-old,Old Akkadian,akk,akk,Akkadian,external language,akk-old > akk
akk-stb,Standard Babylonian,akk,akk,Akkadian,external language,akk-stb > akk
aln,Gheg Albanian,sq,sq,Albanian,external language,aln > sq
als,Tosk Albanian,sq,sq,Albanian,external language,als > sq
alv-kro,Kromanti,crp-mar,crp-mar,Maroon Spirit Language,external language,alv-kro > crp-mar
ang-ang,Anglian Old English,ang,ang,Old English,external language,ang-ang > ang
ang-ken,Kentish Old English,ang,ang,Old English,external language,ang-ken > ang
ang-mer,Mercian Old English,ang-ang,ang,Old English,external language,ang-mer > ang-ang > ang
ang-nor,Northumbrian Old English,ang-ang,ang,Old English,external language,ang-nor > ang-ang > ang
ang-wsx,West Saxon Old English,ang,ang,Old English,external language,ang-wsx > ang
